referrer,views_total,views_unique
github.com,568,29
Google,199,52
ssvlab.github.io,65,21
linkedin.com,16,12
arxiv.org,15,2
Bing,13,7
DuckDuckGo,10,6
com.linkedin.android,5,5
paperswithcode.com,4,2
mail.google.com,4,1
