time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-08 00:00:00+00:00,48,14,351,26
2024-11-09 00:00:00+00:00,73,14,450,23
2024-11-10 00:00:00+00:00,43,11,465,20
2024-11-11 00:00:00+00:00,174,18,370,32
2024-11-12 00:00:00+00:00,220,21,697,28
2024-11-13 00:00:00+00:00,94,12,358,35
2024-11-14 00:00:00+00:00,184,24,260,28
2024-11-15 00:00:00+00:00,69,12,212,21
2024-11-16 00:00:00+00:00,39,10,87,11
2024-11-17 00:00:00+00:00,27,5,117,16
2024-11-18 00:00:00+00:00,88,11,200,22
2024-11-19 00:00:00+00:00,45,8,438,41
2024-11-20 00:00:00+00:00,97,12,199,22
2024-11-21 00:00:00+00:00,27,7,262,29
