time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-02 00:00:00+00:00,12,4,106,16
2024-08-03 00:00:00+00:00,2,1,74,12
2024-08-04 00:00:00+00:00,7,3,66,10
2024-08-05 00:00:00+00:00,24,6,67,20
2024-08-06 00:00:00+00:00,11,4,218,28
2024-08-07 00:00:00+00:00,21,5,156,26
2024-08-08 00:00:00+00:00,73,12,212,25
2024-08-09 00:00:00+00:00,4,1,148,19
2024-08-10 00:00:00+00:00,2,1,41,6
2024-08-11 00:00:00+00:00,34,9,137,11
2024-08-12 00:00:00+00:00,64,10,195,26
2024-08-13 00:00:00+00:00,81,15,288,30
2024-08-14 00:00:00+00:00,123,15,307,30
2024-08-15 00:00:00+00:00,146,14,410,35
