time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-18 00:00:00+00:00,59,9,190,17
2024-08-19 00:00:00+00:00,94,17,443,29
2024-08-20 00:00:00+00:00,31,7,312,24
2024-08-21 00:00:00+00:00,79,7,548,23
2024-08-22 00:00:00+00:00,56,8,404,18
2024-08-23 00:00:00+00:00,25,5,360,23
2024-08-24 00:00:00+00:00,43,8,240,14
2024-08-25 00:00:00+00:00,46,5,280,18
2024-08-26 00:00:00+00:00,137,15,228,39
2024-08-27 00:00:00+00:00,100,10,489,35
2024-08-28 00:00:00+00:00,60,9,184,22
2024-08-29 00:00:00+00:00,60,12,295,26
2024-08-30 00:00:00+00:00,22,6,186,21
2024-08-31 00:00:00+00:00,60,12,120,18
