time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,100,10,489,35
2024-08-28 00:00:00+00:00,60,9,184,22
2024-08-29 00:00:00+00:00,60,12,295,26
2024-08-30 00:00:00+00:00,22,6,186,21
2024-08-31 00:00:00+00:00,64,13,125,21
2024-09-01 00:00:00+00:00,40,9,190,21
2024-09-02 00:00:00+00:00,88,11,331,27
2024-09-03 00:00:00+00:00,39,8,184,31
2024-09-04 00:00:00+00:00,69,14,211,25
2024-09-05 00:00:00+00:00,39,7,221,23
2024-09-06 00:00:00+00:00,54,9,106,18
2024-09-07 00:00:00+00:00,3,2,122,15
2024-09-08 00:00:00+00:00,3,2,13,7
2024-09-09 00:00:00+00:00,110,17,305,28
