time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-26 00:00:00+00:00,137.0,15.0,228,39
2024-08-27 00:00:00+00:00,100.0,10.0,489,35
2024-08-28 00:00:00+00:00,60.0,9.0,184,22
2024-08-29 00:00:00+00:00,60.0,12.0,295,26
2024-08-30 00:00:00+00:00,22.0,6.0,186,21
2024-08-31 00:00:00+00:00,64.0,13.0,125,21
2024-09-01 00:00:00+00:00,40.0,9.0,190,21
2024-09-02 00:00:00+00:00,88.0,11.0,331,27
2024-09-03 00:00:00+00:00,39.0,8.0,184,31
2024-09-04 00:00:00+00:00,69.0,14.0,211,25
2024-09-05 00:00:00+00:00,39.0,7.0,221,23
2024-09-06 00:00:00+00:00,54.0,9.0,106,18
2024-09-07 00:00:00+00:00,3.0,2.0,122,15
2024-09-08 00:00:00+00:00,,,13,7
