time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-09 00:00:00+00:00,76,16,339,32
2024-10-10 00:00:00+00:00,95,12,257,34
2024-10-11 00:00:00+00:00,74,14,151,23
2024-10-12 00:00:00+00:00,38,9,112,16
2024-10-13 00:00:00+00:00,3,3,66,13
2024-10-14 00:00:00+00:00,126,17,443,27
2024-10-15 00:00:00+00:00,119,17,394,35
2024-10-16 00:00:00+00:00,189,24,273,42
2024-10-17 00:00:00+00:00,59,13,127,22
2024-10-18 00:00:00+00:00,89,12,165,26
2024-10-19 00:00:00+00:00,85,8,175,14
2024-10-20 00:00:00+00:00,16,7,213,17
2024-10-21 00:00:00+00:00,21,8,285,29
2024-10-22 00:00:00+00:00,48,4,452,29
