time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-12 00:00:00+00:00,14,5,228,28
2024-09-13 00:00:00+00:00,83,12,72,20
2024-09-14 00:00:00+00:00,3,3,36,8
2024-09-15 00:00:00+00:00,13,3,41,8
2024-09-16 00:00:00+00:00,22,4,92,19
2024-09-17 00:00:00+00:00,12,5,130,15
2024-09-18 00:00:00+00:00,109,16,333,29
2024-09-19 00:00:00+00:00,75,13,139,25
2024-09-20 00:00:00+00:00,27,3,152,29
2024-09-21 00:00:00+00:00,4,4,87,21
2024-09-22 00:00:00+00:00,14,3,94,19
2024-09-23 00:00:00+00:00,60,9,530,33
2024-09-24 00:00:00+00:00,7,4,407,34
2024-09-25 00:00:00+00:00,101,17,444,40
