referrer,views_total,views_unique
github.com,458,24
Google,269,68
ssvlab.github.io,49,16
com.linkedin.android,42,4
Baidu,28,1
yandex.ru,23,1
linkedin.com,18,14
edgeservices.bing.com,18,3
com.google.android.gm,13,1
Bing,7,5
