time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-23 00:00:00+00:00,28,7,148,19
2024-11-24 00:00:00+00:00,6,4,107,24
2024-11-25 00:00:00+00:00,34,7,291,24
2024-11-26 00:00:00+00:00,109,13,236,29
2024-11-27 00:00:00+00:00,37,13,643,30
2024-11-28 00:00:00+00:00,61,11,283,30
2024-11-29 00:00:00+00:00,78,17,321,30
2024-11-30 00:00:00+00:00,26,7,111,21
2024-12-01 00:00:00+00:00,37,9,146,31
2024-12-02 00:00:00+00:00,43,11,239,47
2024-12-03 00:00:00+00:00,156,27,322,52
2024-12-04 00:00:00+00:00,18,9,174,41
2024-12-05 00:00:00+00:00,24,12,201,48
2024-12-06 00:00:00+00:00,97,14,545,56
