time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,54,9,106,18
2024-09-07 00:00:00+00:00,3,2,122,15
2024-09-08 00:00:00+00:00,3,2,13,7
2024-09-09 00:00:00+00:00,115,18,308,29
2024-09-10 00:00:00+00:00,17,7,183,19
2024-09-11 00:00:00+00:00,78,15,230,29
2024-09-12 00:00:00+00:00,14,5,228,28
2024-09-13 00:00:00+00:00,83,12,72,20
2024-09-14 00:00:00+00:00,3,3,36,8
2024-09-15 00:00:00+00:00,13,3,41,8
2024-09-16 00:00:00+00:00,22,4,92,19
2024-09-17 00:00:00+00:00,12,5,130,15
2024-09-18 00:00:00+00:00,109,16,333,29
2024-09-19 00:00:00+00:00,74,13,139,25
