referrer,views_total,views_unique
Google,611,92
github.com,581,23
ssvlab.github.io,112,30
Bing,47,7
statics.teams.cdn.office.net,23,4
DuckDuckGo,9,9
linkedin.com,8,2
Baidu,3,1
mail.google.com,2,1
shmarov.com,1,1
