time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-06 00:00:00+00:00,6,4,15,9
2024-10-07 00:00:00+00:00,178,26,450,32
2024-10-08 00:00:00+00:00,224,21,581,29
2024-10-09 00:00:00+00:00,76,16,339,32
2024-10-10 00:00:00+00:00,95,12,257,34
2024-10-11 00:00:00+00:00,93,17,156,25
2024-10-12 00:00:00+00:00,38,9,112,16
2024-10-13 00:00:00+00:00,3,3,66,13
2024-10-14 00:00:00+00:00,126,17,443,27
2024-10-15 00:00:00+00:00,119,17,394,35
2024-10-16 00:00:00+00:00,189,24,273,42
2024-10-17 00:00:00+00:00,59,13,127,22
2024-10-18 00:00:00+00:00,89,12,165,26
2024-10-19 00:00:00+00:00,84,8,173,14
