time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,25,5,360,23
2024-08-24 00:00:00+00:00,43,8,240,14
2024-08-25 00:00:00+00:00,46,5,280,18
2024-08-26 00:00:00+00:00,137,15,228,39
2024-08-27 00:00:00+00:00,100,10,489,35
2024-08-28 00:00:00+00:00,60,9,184,22
2024-08-29 00:00:00+00:00,60,12,295,26
2024-08-30 00:00:00+00:00,22,6,186,21
2024-08-31 00:00:00+00:00,64,13,125,21
2024-09-01 00:00:00+00:00,40,9,190,21
2024-09-02 00:00:00+00:00,88,11,331,27
2024-09-03 00:00:00+00:00,39,8,184,31
2024-09-04 00:00:00+00:00,69,14,211,25
2024-09-05 00:00:00+00:00,35,5,221,23
