time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-05 00:00:00+00:00,24,12,201,48
2024-12-06 00:00:00+00:00,133,17,591,58
2024-12-07 00:00:00+00:00,48,9,295,21
2024-12-08 00:00:00+00:00,116,14,424,32
2024-12-09 00:00:00+00:00,105,19,468,45
2024-12-10 00:00:00+00:00,186,18,351,32
2024-12-11 00:00:00+00:00,200,24,423,29
2024-12-12 00:00:00+00:00,46,11,400,24
2024-12-13 00:00:00+00:00,86,10,273,31
2024-12-14 00:00:00+00:00,17,4,72,17
2024-12-15 00:00:00+00:00,113,12,334,19
2024-12-16 00:00:00+00:00,114,14,619,40
2024-12-17 00:00:00+00:00,18,6,167,27
2024-12-18 00:00:00+00:00,71,6,496,20
