time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,88,11,331,27
2024-09-03 00:00:00+00:00,39,8,184,31
2024-09-04 00:00:00+00:00,69,14,211,25
2024-09-05 00:00:00+00:00,39,7,221,23
2024-09-06 00:00:00+00:00,54,9,106,18
2024-09-07 00:00:00+00:00,3,2,122,15
2024-09-08 00:00:00+00:00,3,2,13,7
2024-09-09 00:00:00+00:00,115,18,308,29
2024-09-10 00:00:00+00:00,17,7,183,19
2024-09-11 00:00:00+00:00,78,15,230,29
2024-09-12 00:00:00+00:00,14,5,228,28
2024-09-13 00:00:00+00:00,83,12,72,20
2024-09-14 00:00:00+00:00,3,3,36,8
2024-09-15 00:00:00+00:00,11,3,41,8
