referrer,views_total,views_unique
github.com,593,24
Google,470,91
ssvlab.github.io,102,27
Bing,49,8
statics.teams.cdn.office.net,20,2
DuckDuckGo,18,10
linkedin.com,8,2
chatgpt.com,5,2
cn.bing.com,3,2
Baidu,3,1
