time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-12 00:00:00+00:00,220,21,697,28
2024-11-13 00:00:00+00:00,94,12,358,35
2024-11-14 00:00:00+00:00,184,24,260,28
2024-11-15 00:00:00+00:00,69,12,212,21
2024-11-16 00:00:00+00:00,39,10,87,11
2024-11-17 00:00:00+00:00,27,5,117,16
2024-11-18 00:00:00+00:00,88,11,200,22
2024-11-19 00:00:00+00:00,45,8,438,41
2024-11-20 00:00:00+00:00,97,12,199,22
2024-11-21 00:00:00+00:00,30,8,264,29
2024-11-22 00:00:00+00:00,119,9,599,30
2024-11-23 00:00:00+00:00,28,7,148,19
2024-11-24 00:00:00+00:00,6,4,107,24
2024-11-25 00:00:00+00:00,32,6,273,23
