time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-30 00:00:00+00:00,82.0,14.0,214,30
2024-10-01 00:00:00+00:00,70.0,9.0,257,41
2024-10-02 00:00:00+00:00,32.0,5.0,182,36
2024-10-03 00:00:00+00:00,70.0,13.0,103,22
2024-10-04 00:00:00+00:00,39.0,8.0,149,29
2024-10-05 00:00:00+00:00,17.0,3.0,48,14
2024-10-06 00:00:00+00:00,6.0,4.0,15,9
2024-10-07 00:00:00+00:00,178.0,26.0,450,32
2024-10-08 00:00:00+00:00,224.0,21.0,581,29
2024-10-09 00:00:00+00:00,76.0,16.0,339,32
2024-10-10 00:00:00+00:00,95.0,12.0,257,34
2024-10-11 00:00:00+00:00,74.0,14.0,145,25
2024-10-12 00:00:00+00:00,38.0,9.0,112,16
2024-10-13 00:00:00+00:00,,,64,11
