referrer,views_total,views_unique
Google,614,83
github.com,569,21
ssvlab.github.io,50,25
Bing,41,8
statics.teams.cdn.office.net,22,3
com.google.android.gm,15,1
DuckDuckGo,6,6
linkedin.com,6,1
Baidu,3,1
edgeservices.bing.com,3,1
