time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,70,9,257,41
2024-10-02 00:00:00+00:00,32,5,182,36
2024-10-03 00:00:00+00:00,70,13,103,22
2024-10-04 00:00:00+00:00,39,8,149,29
2024-10-05 00:00:00+00:00,17,3,48,14
2024-10-06 00:00:00+00:00,6,4,15,9
2024-10-07 00:00:00+00:00,178,26,450,32
2024-10-08 00:00:00+00:00,224,21,581,29
2024-10-09 00:00:00+00:00,76,16,339,32
2024-10-10 00:00:00+00:00,95,12,257,34
2024-10-11 00:00:00+00:00,93,17,145,25
2024-10-12 00:00:00+00:00,38,9,112,16
2024-10-13 00:00:00+00:00,3,3,66,13
2024-10-14 00:00:00+00:00,123,17,378,27
